Story ID	Layer	Feature	User Story	Expected Behavior (code-based)	Primary Source	Existing Coverage	Feature Status	This-loop Test Status	Error Log	Fix Status	Retest Status	Next Verification
US-001	Core init	Explicit initialization	Canister developer initializes the database before use.	Db::query and Db::update return StableMemoryNotInitialized until Db::init(memory) succeeds.	src/db/mod.rs; tests/vfs_roundtrip.rs	updates_and_query_require_explicit_memory_initialization	Host verified	Passed: cargo test (2026-06-22); 0 failures	No errors	No fix needed	Passed	cargo test --test vfs_roundtrip update_and_query_require_explicit_memory_initialization
US-002	Core init	Fresh and foreign memory handling	Canister developer starts from empty selected memory or detects incompatible bytes safely.	Empty selected memory gets an ICSQLITE superblock; v6 page-map, raw SQLite header, and random non-empty memory are rejected without overwrite.	src/db/mod.rs; src/stable/meta.rs; tests/vfs_roundtrip.rs	db_init_fresh_initializes_empty_virtual_memory; db_init_rejects_*	Host verified	Passed: cargo test (2026-06-22); 0 failures	No errors	No fix needed	Passed	cargo test --test vfs_roundtrip db_init
US-003	Core init	Single global DB guard	Canister developer avoids accidental second global registration.	A second Db::init in the same Wasm instance returns StableMemoryAlreadyInitialized.	src/db/mod.rs; tests/vfs_roundtrip.rs	db_init_rejects_second_memory_in_same_instance	Host verified	Passed: cargo test (2026-06-22); 0 failures	No errors	No fix needed	Passed	cargo test --test vfs_roundtrip db_init_rejects_second_memory_in_same_instance
US-004	Core init	Multiple independent DB handles	Advanced canister developer opens several SQLite images in one Wasm instance.	DbHandle::init accepts distinct MemoryId-backed memories, rejects duplicate identity, and keeps updates/checksum scoped per handle.	src/db/mod.rs; tests/vfs_roundtrip.rs	db_handles_keep_simultaneous_contexts_separate; db_handle_update_and_checksum_are_scoped_to_handle	Host verified	Passed: cargo test (2026-06-23); 0 failures	No errors	No fix needed	Passed	cargo test --test vfs_roundtrip db_handle
US-005	Transaction	Durable synchronous update	Canister method performs one synchronous update transaction.	Db::update rejects active reads, runs IMMEDIATE transaction, commits overlay after SQLite COMMIT, and rolls back on Err or panic under IC rollback assumptions.	src/db/mod.rs; src/db/transaction.rs; src/sqlite_vfs/overlay.rs; tests/vfs_roundtrip.rs; src/sqlite_vfs/failpoint_tests.rs	failed_update_rolls_back_transaction; panic_inside_update_drops_overlay_without_changing_active_image	Host verified	Passed: cargo test (2026-06-22); 0 failures	No errors	No fix needed	Passed	cargo test failed_update_rolls_back_transaction panic_inside_update
US-006	Query	Read-only query connection	Application code reads data without mutation.	Db::query opens SQLite read-only/query-only; write attempts through query connection fail and cached read connection observes committed publish paths.	src/db/mod.rs; src/db/pragmas.rs; tests/vfs_roundtrip.rs	query_connection_rejects_writes; cached_read_connection_*	Host verified	Passed: cargo test (2026-06-22); 0 failures	No errors	No fix needed	Passed	cargo test --test vfs_roundtrip query_connection_rejects_writes cached_read_connection
US-007	Schema	Migration runner	Canister developer applies versioned schema steps.	Db::migrate creates __ic_sqlite_migrations, applies only unapplied strictly increasing versions, rejects duplicate/out-of-order/out-of-range versions, and advances superblock schema_version after success.	src/db/migrate.rs; src/db/mod.rs; tests/stress.rs	failed_migration_does_not_advance_schema_version; duplicate_migration_version_is_rejected_before_schema_changes; out_of_order_migration_version_is_rejected_before_schema_changes	Host verified	Passed: cargo test (2026-06-22); 0 failures	No errors	No fix needed	Passed	cargo test --test stress migration
US-008	SQL API	Typed bind and row read	Application code stores and reads SQLite storage classes.	TEXT, INTEGER, REAL, BLOB, and NULL bind/read roundtrip through params, named_params, Row::get, and FromColumn implementations.	src/db/value.rs; src/db/row.rs; tests/typed_api.rs	typed_bind_and_column_read_cover_sqlite_storage_classes; named_parameters_bind_by_sql_name	Host verified	Passed: cargo test (2026-06-22); 0 failures	No errors	No fix needed	Passed	cargo test --test typed_api typed_bind named_parameters
US-009	SQL API	Strict SQL and parameter validation	Application code receives deterministic API errors for malformed calls.	Interior NUL, empty SQL, trailing statements, wrong parameter count, anonymous parameter in named bind, and missing named parameters return typed DbError values.	src/db/connection.rs; src/db/value.rs; tests/strict_api.rs; tests/typed_api.rs	parameter_bindings_must_match_sql_parameters; prepare_rejects_empty_sql_and_trailing_statement_text	Host verified	Passed: cargo test (2026-06-22); 0 failures	No errors	No fix needed	Passed	cargo test --test strict_api
US-010	SQL API	Prepared statement cache and borrowed bindings	Hot paths reuse statements and borrowed values safely.	prepare_cached reuses cached sqlite3_stmt objects; borrowed TEXT/BLOB helpers clear bindings before return, error, early drop, or reuse.	src/db/connection.rs; src/db/statement.rs; tests/typed_api.rs	reusable_statement_handles_repeated_binds; borrowed_text_rows_clear_bindings_after_early_errors_and_drop; cached_borrowed_text_helpers_reuse_statement_after_type_error	Host verified	Passed: cargo test (2026-06-22); 0 failures	No errors	No fix needed	Passed	cargo test --test typed_api borrowed cached specialized
US-011	SQL API	Savepoints	Application code performs partial rollback inside an update.	UpdateConnection::savepoint rolls back inner work on error without escaping the outer update transaction.	src/db/transaction.rs; tests/typed_api.rs; README.md	savepoint_rolls_back_inner_work_without_escaping_update	Host verified	Passed: cargo test (2026-06-22); 0 failures	No errors	No fix needed	Passed	cargo test --test typed_api savepoint
